Filename,Row,Columm,Mode,System_3070,Time_3070,Time_M2,Time_Jimmy,Time_Thelma,Time_Louise,ARI_Louise
avocado_sales_OpenML,18249,13,Default,3070,6.783042669,3.280323914,5.558326632,6.507309228,8.00399035,-4.39E-05
credit_OpenML,16714,10,Default,3070,7.060175896,3.386588438,5.785421915,6.828694719,8.331007557,0.009514241
compass_OpenML,16644,17,Default,3070,7.207668066,3.48567554,5.906283554,6.914673429,8.505048318,0.038779055
superconductivity_OpenML,21263,81,Default,3070,12.69717121,6.09051302,10.40462641,12.28087052,14.98266203,0.001633404
naval_propulsion_plant_OpenML,11934,14,Default,3070,2.432350636,1.176300717,1.993176215,2.333474593,2.87017375,-0.000160411
grid_stability_OpenML,10000,12,Default,3070,2.257885933,1.083050976,1.850212084,2.183856886,2.664305401,0
miami_housing_OpenML,13932,15,Default,3070,3.500058889,1.69265143,2.868103812,3.357780072,4.130069489,0.000249445
kings_county_OpenML,21613,21,Default,3070,12.95660186,6.214955362,10.61721541,12.53179524,15.28879019,-1.50E-05
health_insurance_OpenML,22272,11,Default,3070,13.4480474,6.503563906,11.01992773,12.9013788,15.86869593,0.008454213
fifa_OpenML,19178,28,Default,3070,10.40102172,4.98910798,8.523059465,10.06000461,12.27320563,-0.00253376
heloc_OpenML,10000,22,Default,3070,2.646442175,1.279836789,2.168612338,2.538863224,3.122801766,0.015343734
online_shoppers_OpenML,12330,17,Default,3070,3.509689808,1.683509745,2.875995815,3.394618011,4.141433973,-0.008070662
shrutime_OpenML,10000,10,Default,3070,2.029183149,0.981326277,1.662802858,1.946696029,2.394436116,-0.022519225
Insurance_OpenML,23548,10,Default,3070,12.51716375,6.00416798,10.2571203,12.10676494,14.77025323,0.000695151
SignMNIST_OpenML,34627,784,Default,3070,211.7161493,102.3873181,173.4896224,203.1098018,249.8250562,0.009623522
online-shoppers-intention_OpenML,12330,17,Default,3070,3.639845371,1.745942089,2.982651068,3.520506179,4.295017538,0.086378979
covertype_OpenML,110393,54,Default,3070,1571.699177,760.0840283,1287.920159,1507.808967,1854.605029,-0.008081362
mnist_784_OpenML,70000,784,Default,3070,1094.055958,524.7910695,896.5180771,1058.185271,1290.986031,0.027280137
BNG(mv)_OpenML,78732,10,Default,3070,261.4299617,126.4292438,214.2273297,250.8027275,308.4873548,-4.13E-09
Diabetes130US_OpenML,101766,49,Default,3070,414.3666922,198.7612589,339.5504839,400.780899,488.9526968,-0.00187634
numerai28.6_OpenML,96320,21,Default,3070,486.5893932,235.3178213,398.7329749,466.8093365,574.1754839,0.000412998
connect-4_OpenML,67557,42,Default,3070,155.7414633,74.70525476,127.6214769,150.6351858,183.7749267,0.022007419
fars_OpenML,100968,29,Default,3070,435.4957152,210.6085836,356.8645444,417.7926374,513.884944,-0.003631155
Devnagari-Script_OpenML,92000,1024,Default,3070,2574.600591,1234.971015,2109.742151,2490.187457,3038.028698,0.009240703
Fashion-MNIST_OpenML,70000,784,Default,3070,1101.246106,532.5698381,902.4100035,1056.480004,1299.470405,0.14768668
mnist_rotation_OpenML,62000,784,Default,3070,834.8191552,400.4417086,684.0879189,807.4480354,985.0866032,1.85E-05
volkert_OpenML,58310,180,Default,3070,310.1112566,149.9718372,254.1189464,297.505108,365.9312828,0.104163555
jannis_OpenML,83733,54,Default,3070,370.3212643,177.6337772,303.4577027,358.1795835,436.9790919,-0.004548278
helena_OpenML,65196,27,Default,3070,183.4431006,88.71428635,150.3214297,175.986064,216.4628587,0.010523208
Kuzushiji-MNIST_OpenML,70000,784,Default,3070,1089.07638,522.4024911,892.4375889,1053.368957,1285.110128,0.092391172
GTSRB-HOG01_OpenML,51839,1568,Default,3070,1052.474485,508.9835623,862.4443694,1009.690969,1241.919892,0.040217427
GTSRB-HOG02_OpenML,51839,1568,Default,3070,1049.750917,503.5390577,860.2125569,1015.332854,1238.706082,0.040008768
GTSRB-HOG03_OpenML,51839,2916,Default,3070,1885.433252,911.807884,1545.007803,1808.789624,2224.811237,0.040358433
GTSRB-HueHist_OpenML,51839,256,Default,3070,305.4701888,146.5263507,250.3158492,295.4547728,360.4548228,0.014876319
aloi_OpenML,108000,128,Default,3070,1079.236246,521.9257258,884.3741465,1035.364854,1273.498771,0.001467556
Medical-Appointment_OpenML,61214,18,Default,3070,156.0823406,74.868765,127.9008069,150.9648868,184.1771619,-0.000426188
MiniBooNE_OpenML,72998,50,Default,3070,275.9664162,133.4591685,226.1391466,264.7482692,325.6403711,0
road-safety_OpenML,111762,32,Default,3070,1559.846998,748.2192919,1278.207957,1508.704474,1840.619458,0.000421979
mobile_churn_OpenML,66469,65,Default,3070,125.380053,60.63461578,102.7419878,120.2833028,147.9484625,0.127777125
video_transcoding_OpenML,68784,18,Default,3070,168.4986052,80.82453419,138.0752459,162.9740607,198.8283541,2.34E-05
wave_energy_OpenML,72000,48,Default,3070,232.6874699,112.5291862,190.6744544,223.2286296,274.5712144,1.45E-07
albert_OpenML,58252,31,Default,3070,160.6823887,77.07529211,131.6702907,155.4141136,189.6052186,0.000135527
kick_OpenML,67212,30,Default,3070,182.5623941,88.2883709,149.5997396,175.1411585,215.423625,-0.003265258
Cardiovascular-Disease-dataset_OpenML,70000,11,Default,3070,214.8577615,103.0618531,176.063999,207.8132448,253.5321586,0.038953177
Otto-Group-Product-Classification-Challenge_OpenML,61878,93,Default,3070,240.2517591,116.1873261,196.8729693,230.4854275,283.4970758,0.002766827
Dota2-Games-Results-Data-Set_OpenML,102944,116,Default,3070,1053.093514,505.1424171,862.9516292,1018.565857,1242.650346,3.08E-05
CIFAR_10_OpenML,60000,3072,Default,3070,3008.160344,1454.766068,2465.020281,2885.877402,3549.629205,0.007552473
CIFAR-100_OpenML,60000,3072,Default,3070,3021.994113,1449.574412,2476.356288,2922.912339,3565.953054,0.001698127
