Filename,Row,Columm,Mode,System_M2,Time_M2,Time_Jimmy,Time_Louise,Time_Thelma,ARI_M2
BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,SS,M2,8.715844154,15.56400742,22.34831834,18.79764247,0.048142795
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,SS,M2,57.142555,100.2500965,146.5193718,116.9940345,0.023434572
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,48.67624497,88.50226358,124.8108845,97.50887179,0.071228
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,SS,M2,104.5925992,186.7724986,268.1861518,217.1855252,2.82E-06
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,SS,M2,88.51838994,155.2954209,226.9702306,172.0238895,0.144592474
BNG(segment)_OpenML,1000000,19,SS,M2,53.78405499,97.78919089,137.9078333,110.9086719,0.164243199
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,M2,74.23247623,132.5579933,190.3396826,148.4415104,0.064923332
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,SS,M2,150.0656929,263.2731454,384.7838279,307.4143658,-0.001879483
BNG(soybean)_OpenML,1000000,35,SS,M2,90.99258709,165.4410674,233.3143259,188.4292495,0.04767886
BNG(spambase)_OpenML,1000000,57,SS,M2,130.0444028,232.2221479,333.4471867,265.5290148,-0.002113264
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,M2,42.20342302,74.04109302,108.2139052,85.22326875,0.20305423
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,M2,41.44809914,75.36018025,106.2771773,86.07108212,0.210102212
BNG(trains)_OpenML,1000000,32,SS,M2,84.60910821,151.0876932,216.9464313,171.5854473,0.004042174
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,M2,41.16657567,72.22206258,105.5553222,84.70572162,0.152190322
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,M2,53.48598504,97.24724553,137.1435514,107.2033913,0.040766024
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,SS,M2,54.81288004,97.88014293,140.5458463,112.3795331,-0.027917991
BNG(vote)_OpenML,131072,16,SS,M2,5.151203632,9.037199354,13.20821444,10.951159,0.535784524
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,M2,74.38246393,135.2408435,190.7242665,143.1385534,0.031198294
BNG(ionosphere)_OpenML,1000000,34,SS,M2,93.50304532,166.9697238,239.7513983,193.6165321,0.173842608
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,SS,M2,107.890146,189.2809579,276.6414,201.5749366,0.145569799
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,SS,M2,50.15286708,91.18703105,128.5970951,112.1085117,-1.49E-05
CovPokElec_OpenML,1455525,72,SS,M2,293.576107,524.2430482,752.7592487,588.4817152,0.007239752
Hyperplane_10_1E-3_OpenML,1000000,10,SS,M2,49.76444817,87.30604942,127.6011492,103.223891,2.19E-08
Hyperplane_10_1E-4_OpenML,1000000,10,SS,M2,50.57907009,91.96194562,129.6899233,93.87929654,7.17E-07
LED(50000)_OpenML,1000000,24,SS,M2,67.90395093,121.2570552,174.1126947,142.0533769,1.13E-08
pokerhand_OpenML,829201,10,SS,M2,29.02522898,50.92145435,74.42366405,55.25140285,0.009780844
RandomRBF_0_0_OpenML,1000000,10,SS,M2,50.86700606,92.48546556,130.4282207,107.4495535,-1.09E-05
RandomRBF_10_1E-3_OpenML,1000000,10,SS,M2,50.79521108,90.70573407,130.244131,102.3615444,1.92E-05
RandomRBF_10_1E-4_OpenML,1000000,10,SS,M2,51.34084797,90.07166311,131.6431999,100.1932733,0.00117025
RandomRBF_50_1E-3_OpenML,1000000,10,SS,M2,50.92452216,92.59004029,130.5756978,101.0351202,3.69E-05
RandomRBF_50_1E-4_OpenML,1000000,10,SS,M2,51.04272795,91.14772848,130.8787896,107.6937149,1.36E-05
BNG(anneal)_OpenML,1000000,38,SS,M2,100.8247049,176.8854472,258.5248844,202.4602721,0.011880278
BNG(anneal.ORIG)_OpenML,1000000,38,SS,M2,99.49301815,180.8963966,255.1103029,192.1813295,-0.000258217
BNG(labor)_OpenML,1000000,16,SS,M2,55.67711377,99.42341745,142.7618302,113.3188777,-0.022821978
BNG(letter)_OpenML,1000000,16,SS,M2,67.74217701,118.8459246,173.6978898,133.9670248,0.000790431
BNG(autos)_OpenML,1000000,25,SS,M2,100.3822479,182.513178,257.3903792,204.2573678,0.004734355
BNG(lymph)_OpenML,1000000,18,SS,M2,54.6314261,97.55611804,140.0805797,106.7510471,0.093228004
BNG(mfeat-fourier)_OpenML,1000000,76,SS,M2,314.814955,552.3069386,807.2178333,600.3115067,0.090288225
BNG(mfeat-karhunen)_OpenML,1000000,64,SS,M2,291.741642,530.4393491,748.0554923,563.7914765,0.085658414
BNG(bridges_version1)_OpenML,1000000,12,SS,M2,44.692518,79.80806786,114.5962,91.37136459,-0.004002462
BNG(mfeat-zernike)_OpenML,1000000,47,SS,M2,219.8243303,385.6567198,563.652129,412.220268,0.026291206
BNG(colic.ORIG)_OpenML,1000000,27,SS,M2,90.89189696,165.2579945,233.0561461,182.9642301,-0.000129313
BNG(colic)_OpenML,1000000,22,SS,M2,76.80894017,137.1588217,196.9460004,156.0857522,-0.006545524
BNG(credit-a)_OpenML,1000000,15,SS,M2,56.14245868,98.49554154,143.9550223,111.6970029,0.029315468
BNG(page-blocks)_OpenML,295245,10,SS,M2,13.96069193,25.38307624,35.79664597,27.03077006,-0.000215263
BNG(credit-g)_OpenML,1000000,20,SS,M2,65.07590199,116.2069678,166.8612872,128.8721175,0.047831414
BNG(pendigits)_OpenML,1000000,16,SS,M2,79.80039692,140.0006964,204.6164024,159.2378721,0.035038351
BNG(cylinder-bands)_OpenML,1000000,39,SS,M2,135.9358389,247.1560707,348.5534331,263.5007584,0.000527235
BNG(dermatology)_OpenML,1000000,34,SS,M2,90.63064981,161.8404461,232.3862816,188.8486433,-0.006714446
BNG(sonar)_OpenML,1000000,60,SS,M2,246.35566,432.2029123,631.6811795,471.5188446,0.000323042
BNG(heart-c)_OpenML,1000000,13,SS,M2,51.46169591,93.56671984,131.9530664,106.1889131,0.008554454
BNG(heart-statlog)_OpenML,1000000,13,SS,M2,51.22231293,91.46841595,131.3392639,101.6845374,0.009376561
BNG(vehicle)_OpenML,1000000,18,SS,M2,88.9640038,156.0771996,228.1128303,182.3852198,0.075248185
BNG(hepatitis)_OpenML,1000000,19,SS,M2,67.13499403,122.0636255,172.1410103,135.0768645,0.0003945
BNG(waveform-5000)_OpenML,1000000,40,SS,M2,182.2643661,325.4720823,467.3445285,359.4862573,0.247391076
BNG(zoo)_OpenML,1000000,16,SS,M2,48.11001015,84.40352658,123.3590004,93.40154529,0.207779783
20_newsgroups.drift_OpenML,399940,1001,SS,M2,845.9015238,1538.002771,2168.978266,1792.661556,0.003415018
KDDCup99_full_OpenML,4898431,41,SS,M2,641.5487981,1145.622854,1644.996918,1311.388002,1.83E-06
KDDCup99_OpenML,494020,41,SS,M2,49.03076506,86.01888607,125.7199104,96.68430805,8.72E-06
BNG(primary-tumor)_OpenML,1000000,17,SS,M2,51.01920009,92.76218198,130.8184618,98.78703356,0.024422279
BNG(solar-flare)_OpenML,663552,12,SS,M2,24.88230777,44.43269245,63.80078915,52.74060941,0.011166782
BNG(spect_test)_OpenML,1000000,22,SS,M2,61.65274596,108.1627122,158.083964,126.8386245,0.000982349
BNG(spectf_test)_OpenML,1000000,44,SS,M2,204.965517,372.6645764,525.5526077,399.4538851,-0.069671009
BNG(adult)_OpenML,1000000,14,SS,M2,46.80187392,83.57477486,120.0048049,95.15905309,-0.00299916
BNG(satimage)_OpenML,1000000,36,SS,M2,169.0297003,296.5433339,433.4094879,316.7924564,0.15422582
BNG(wine)_OpenML,1000000,13,SS,M2,63.85236287,116.0952052,163.7240074,130.5703514,0.127652668
BNG(eucalyptus)_OpenML,1000000,19,SS,M2,77.08982682,137.660405,197.6662226,156.2696836,-0.00192377
BNG(wisconsin)_OpenML,1000000,32,SS,M2,148.3139651,260.1999388,380.2922182,282.9973612,4.90E-10
BNG(cleveland)_OpenML,1000000,13,SS,M2,52.90026617,96.18230213,135.6417081,108.2546458,0.024726919
BNG(auto_price)_OpenML,1000000,15,SS,M2,79.29779625,141.6032076,203.3276827,160.8245523,1.74E-08
BNG(cpu_act)_OpenML,1000000,21,SS,M2,102.913919,180.5507351,263.8818436,203.6339765,5.78E-08
BNG(pbc)_OpenML,1000000,18,SS,M2,81.0778451,147.4142638,207.8919105,163.3073192,-8.73E-11
BNG(autoHorse)_OpenML,1000000,25,SS,M2,106.912617,190.9153875,274.1349154,203.043216,1.29E-08
BNG(cholesterol)_OpenML,1000000,13,SS,M2,55.76493192,97.83321389,142.9870049,100.6091242,1.95E-10
BNG(autoPrice)_OpenML,1000000,15,SS,M2,80.33785272,146.0688231,205.9944942,159.8576531,1.91E-08
BNG(pharynx)_OpenML,1000000,10,SS,M2,43.46447587,77.61513548,111.447374,89.89802933,3.15E-10
BNG(2dplanes)_OpenML,177147,10,SS,M2,5.717591047,10.03086149,14.66048986,12.58039641,7.53E-10
BNG(elevators)_OpenML,1000000,18,SS,M2,86.88226771,157.9677595,222.7750454,155.3162546,0.000291016
BNG(cpu_small)_OpenML,1000000,12,SS,M2,68.90327811,123.0415681,176.6750721,134.9885368,1.74E-08
BNG(pwLinear)_OpenML,177147,10,SS,M2,6.558220148,11.50564938,16.8159491,13.26303458,4.69E-08
BNG(wine_quality)_OpenML,531441,11,SS,M2,28.49286294,51.80520535,73.05862292,55.08468461,0.000467292
BNG(Australian)_OpenML,1000000,14,SS,M2,57.27742672,102.2811191,146.8651967,114.2408099,0.287120496
BNG(satellite_image)_OpenML,1000000,36,SS,M2,176.9408779,310.4225928,453.6945587,348.6135008,0.160841305
BNG(Ailerons)_OpenML,1000000,40,SS,M2,153.5299428,279.1453505,393.66652,305.8507144,0.000970265
BNG(libras_move)_OpenML,1000000,90,SS,M2,373.2382741,666.496918,957.0212156,734.7452905,3.08E-08
BNG(vowel)_OpenML,1000000,12,SS,M2,59.16227698,103.7934684,151.6981461,115.0397799,4.52E-05
BNG(puma32H)_OpenML,1000000,32,SS,M2,154.3956678,280.719396,395.8863277,294.843214,1.13E-10
BNG(SPECT)_OpenML,1000000,22,SS,M2,60.66126323,108.3236843,155.5417006,124.3145349,-0.042303344
BNG(SPECTF)_OpenML,1000000,44,SS,M2,205.6497042,360.7889547,527.3069338,396.8226032,-0.055441765
BNG(JapaneseVowels)_OpenML,1000000,14,SS,M2,70.65272284,128.4594961,181.1608278,138.3502591,-0.000421093
Click_prediction_small_OpenML,149639,11,SS,M2,6.237835646,11.13899223,15.99445037,12.90970683,0.000721468
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,SS,M2,105.4197481,184.9469265,270.3070464,186.5321691,0.016154464
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,SS,M2,107.4553993,195.3734533,275.5266649,201.2326095,-0.023223616
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,SS,M2,107.3021922,191.6110575,275.1338262,214.2696404,-0.016383659
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,SS,M2,103.487201,181.556493,265.3517974,206.2428322,0.006895833
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,SS,M2,105.2646761,191.3903202,269.9094259,210.5608194,0.016401287
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,1000000,38,SS,M2,106.0437191,189.3637841,271.9069721,202.860364,-0.014381647
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,SS,M2,102.899096,180.5247298,263.8438359,204.9786992,-0.006234605
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,SS,M2,103.803519,188.7336709,266.1628692,193.7719908,0.008750965
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,SS,M2,104.4250493,186.4733023,267.7565367,193.6912191,0.017098975
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,SS,M2,103.2472439,181.1355156,264.7365228,206.4276054,0.027744651
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,1000000,38,SS,M2,104.677819,190.3233073,268.4046641,206.3186204,0.027626212
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,1000000,38,SS,M2,104.6412299,186.8593391,268.3108459,209.2252915,-0.007499959
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,1000000,38,SS,M2,102.4933581,179.8129089,262.8034823,200.7994561,0.087373388
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,SS,M2,103.1845376,187.6082502,264.5757374,203.5046377,0.028251325
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,SS,M2,104.2655733,186.1885238,267.3476238,196.7901785,0.027800456
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,SS,M2,101.0829992,177.3385951,259.1871774,190.6545031,0.140328636
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,SS,M2,102.1066849,185.648518,261.8120126,195.9898527,0.067412571
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,SS,M2,102.4896491,183.0172305,262.7939721,208.4327154,0.029489267
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,SS,M2,96.90814495,170.0142894,248.4824229,196.6417568,-3.06E-05
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,SS,M2,96.65780783,175.7414688,247.8405329,193.5447836,-1.88E-05
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,SS,M2,96.5329051,172.3801877,247.5202695,197.0517693,-2.88E-06
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,SS,M2,96.72929883,169.7005243,248.0238432,197.4071009,-0.000543673
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,SS,M2,96.89116096,176.1657472,248.4388743,186.9217587,-3.11E-05
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,SS,M2,96.95516992,173.134232,248.6029998,199.3700218,-3.08E-05
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,SS,M2,95.80302,168.0754737,245.6487692,176.5251207,-0.000467885
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,SS,M2,95.70621276,174.0112959,245.4005455,202.6581283,-0.001001404
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,SS,M2,96.01683092,171.4586266,246.1970024,201.0594599,-2.11E-06
BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,16,SS,M2,67.62736678,118.6445031,173.4035046,137.9237521,0.001190585
BNG(letter_COMMA_1000_COMMA_5)_OpenML,1000000,16,SS,M2,67.69935608,123.0897383,173.5880925,142.8644896,0.000731817
BNG(letter_COMMA_1000_COMMA_10)_OpenML,1000000,16,SS,M2,67.46080589,120.4657248,172.9764254,137.4261236,2.18E-05
BNG(letter_COMMA_5000_COMMA_1)_OpenML,1000000,16,SS,M2,68.05108786,119.3878734,174.4899689,139.1016531,0.001335253
BNG(letter_COMMA_5000_COMMA_5)_OpenML,1000000,16,SS,M2,68.16570115,123.9376385,174.7838491,138.5261662,0.001325612
BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,16,SS,M2,67.72553015,120.9384467,173.6552055,142.9880168,0.000133087
BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,16,SS,M2,68.12779379,119.5224452,174.6866507,143.1086047,0.001189109
BNG(letter_COMMA_10000_COMMA_5)_OpenML,1000000,16,SS,M2,68.24178195,124.0759672,174.9789281,141.8385088,0.001235846
BNG(letter_COMMA_10000_COMMA_10)_OpenML,1000000,16,SS,M2,67.6086452,120.7297236,173.3555005,141.6159091,0.001382696
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,SS,M2,166.7110059,292.4754489,427.4641177,344.2296991,0.001412557
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,SS,M2,166.5405922,302.8010767,427.0271595,358.0381162,0.000581223
BNG(audiology_COMMA_1000_COMMA_10)_OpenML,1000000,69,SS,M2,166.3111989,296.9842838,426.4389715,356.1215708,0.000572733
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,69,SS,M2,163.5236599,286.8836139,419.2914356,354.555028,0.011945703
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,69,SS,M2,165.0356309,300.0647835,423.1682844,347.0179145,0.006658781
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,69,SS,M2,165.3165431,295.2081127,423.8885721,342.9895849,0.001521296
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,25,SS,M2,100.372241,176.0916509,257.3647205,201.7462318,0.001459205
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,SS,M2,100.5046501,182.7357275,257.704231,206.9560697,-0.001091792
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,25,SS,M2,100.5811212,179.609145,257.9003108,208.6331081,-0.000414623
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,SS,M2,100.5795052,176.4552723,257.8961672,211.6695869,-0.002423425
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,25,SS,M2,100.3976169,182.5411216,257.4297869,211.0550706,0.00141268
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,25,SS,M2,101.0737062,180.4887611,259.1633492,211.1529193,-0.000836207
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,25,SS,M2,101.3452868,177.7987488,259.8597097,207.098537,-0.000651651
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,25,SS,M2,100.5491302,182.8166004,257.8182826,209.4475996,-0.001601068
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,25,SS,M2,100.8875263,180.156297,258.6859649,211.0124872,0.001272304
BNG(lymph_COMMA_1000_COMMA_1)_OpenML,1000000,18,SS,M2,55.28577375,96.99258553,141.7583942,115.4263544,0.000482698
BNG(lymph_COMMA_1000_COMMA_5)_OpenML,1000000,18,SS,M2,54.88564396,99.79207993,140.7324204,111.7179177,0.001807097
BNG(lymph_COMMA_1000_COMMA_10)_OpenML,1000000,18,SS,M2,55.27761912,98.71003414,141.7374849,112.5975151,0.003413004
BNG(lymph_COMMA_5000_COMMA_1)_OpenML,1000000,18,SS,M2,55.61452818,97.56934768,142.6013543,111.4332461,0.007477331
BNG(lymph_COMMA_5000_COMMA_5)_OpenML,1000000,18,SS,M2,54.86908269,99.76196853,140.6899556,111.7585087,0.000626251
BNG(lymph_COMMA_5000_COMMA_10)_OpenML,1000000,18,SS,M2,55.68611979,99.43949963,142.7849225,113.2825122,-6.07E-05
BNG(lymph_COMMA_10000_COMMA_1)_OpenML,1000000,18,SS,M2,55.49626207,97.36186328,142.2981079,109.6796916,0.027338856
BNG(lymph_COMMA_10000_COMMA_5)_OpenML,1000000,18,SS,M2,55.51680088,100.939638,142.3507715,113.5222204,0.000732305
BNG(lymph_COMMA_10000_COMMA_10)_OpenML,1000000,18,SS,M2,55.56190705,99.21769116,142.4664283,106.6029246,0.000193137
spoken-arabic-digit_OpenML,263256,14,SS,M2,14.58992696,25.59636309,37.41006913,30.5242517,-1.81E-06
poker-hand_OpenML,1025009,10,SS,M2,37.2753191,67.77330745,95.57774128,78.24600434,2.65E-06
creditcard_OpenML,284807,29,SS,M2,36.94481707,65.97288763,94.73030018,70.68862677,0.001723119
Buzzinsocialmedia_Twitter_OpenML,583250,77,SS,M2,129.1399429,226.5613033,331.1280587,236.4226985,0.000864322
connect-4_OpenML,67557,42,SS,M2,5.241350174,9.529727589,13.43935942,11.27809668,-0.001661419
EMNIST_Balanced_OpenML,131600,784,SS,M2,204.071934,364.4141679,523.2613692,434.5116916,0.011186647
dionis_OpenML,416188,60,SS,M2,79.49400806,139.463172,203.8307899,159.1378245,4.01E-11
Klaverjas2018_OpenML,981541,32,SS,M2,87.66486502,159.3906637,224.7817052,173.2887089,-0.000371687
Kuzushiji-49_OpenML,270912,784,SS,M2,463.0132871,826.8094413,1187.213557,1000.161059,0.018272612
bot-iot-all-features_OpenML,3668522,44,SS,M2,623.3083112,1093.523353,1598.226439,1206.28695,-0.000126868
CreditCardFraudDetection_OpenML,284807,30,SS,M2,37.69826388,68.54229796,96.66221508,74.01340985,0.00301072
SantanderCustomerSatisfaction_OpenML,200000,201,SS,M2,130.4954689,233.027623,334.6037664,244.2214653,-0.000450247
hls4ml_lhc_jets_hlf_OpenML,830000,16,SS,M2,70.56874704,123.8048194,180.9455052,134.9524057,0.06416362
medical_charges_nominal_OpenML,163065,11,SS,M2,6.974241018,12.68043821,17.88266928,15.36451793,3.70E-07
Allstate_Claims_Severity_OpenML,188318,130,SS,M2,48.82645202,87.19009289,125.1960308,100.0464392,-4.10E-08
RelevantImagesDatasetTEST_OpenML,134731,30,SS,M2,9.846256018,17.27413336,25.2468103,20.81049395,0.056870672
Yolanda_OpenML,400000,100,SS,M2,157.7523458,286.8224469,404.4931944,316.1960974,-0.001794264
nyc-taxi-green-dec-2016_OpenML,581835,18,SS,M2,33.52815795,59.87171063,85.96963577,65.37026811,2.89E-05
