Filename,Shape_R,Shape_C,Unique
car-evaluation,"1,728",22,4
car_evaluation,"1,728",22,4
volcanoes-a2,"1,623",4,5
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,"1,600","1,001",2
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,"1,600",21,2
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,"1,600",21,2
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,"1,600",21,2
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,"1,600",21,2
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,"1,600",21,2
one-hundred-plants-margin,"1,600",65,100
one-hundred-plants-shape,"1,600",65,100
one-hundred-plants-texture,"1,599",65,100
wine-quality-red,"1,599",12,6
wine_quality_red,"1,599",12,6
semeion,"1,593",257,10
pc3,"1,563",38,2
OVA_Breast,"1,545","10,936",2
OVA_Colon,"1,545","10,936",2
OVA_Endometrium,"1,545","10,936",2
OVA_Kidney,"1,545","10,936",2
OVA_Lung,"1,545","10,936",2
OVA_Omentum,"1,545","10,936",2
OVA_Ovary,"1,545","10,936",2
OVA_Prostate,"1,545","10,936",2
OVA_Uterus,"1,545","10,936",2
volcanoes-a3,"1,521",4,5
volcanoes-a4,"1,515",4,5
amazon-commerce-reviews,"1,500","10,001",50
yeast,"1,484",9,10
cmc,"1,473",10,2
contraceptive,"1,473",10,3
pc4,"1,458",38,2
banknote-authentication,"1,372",5,2
analcatdata_halloffame,"1,340",17,2
baseball,"1,340",17,3
mofn-3-7-10,"1,324",11,2
mofn_3_7_10,"1,324",11,2
volcanoes-e3,"1,277",4,5
colleges_usnews,"1,276",23,2
volcanoes-e4,"1,252",4,5
Hill_Valley_with_noise,"1,212",101,2
Hill_Valley_without_noise,"1,212",101,2
hill-valley,"1,212",101,2
volcanoes-e1,"1,183",4,5
colleges_aaup,"1,161",16,2
socmob,"1,156",6,2
parity5+5,"1,124",11,2
parity5_plus_5,"1,124",11,2
volcanoes-e5,"1,112",4,5
pc1,"1,109",22,2
autoUniv-au7-1100,"1,100",13,5
MiceProtein,"1,080",78,8
cnae-9,"1,080",857,9
volcanoes-e2,"1,080",4,5
PieChart3,"1,077",38,2
flare,"1,066",11,2
solar-flare,"1,066",13,6
solar_flare_2,"1,066",13,6
4544_GeographicalOriginalofMusic,"1,059",118,"1,057"
qsar-biodeg,"1,055",42,2
PizzaCutter3,"1,043",38,2
rmftsa_sleepdata,"1,024",3,4
1028_SWD,"1,000",11,4
1029_LEV,"1,000",5,5
1030_ERA,"1,000",5,9
583_fri_c1_1000_50,"1,000",51,"1,000"
586_fri_c3_1000_25,"1,000",26,"1,000"
588_fri_c4_1000_100,"1,000",101,"1,000"
589_fri_c2_1000_25,"1,000",26,"1,000"
590_fri_c0_1000_50,"1,000",51,"1,000"
592_fri_c4_1000_25,"1,000",26,"1,000"
593_fri_c1_1000_10,"1,000",11,"1,000"
595_fri_c0_1000_10,"1,000",11,"1,000"
598_fri_c0_1000_25,"1,000",26,"1,000"
599_fri_c2_1000_5,"1,000",6,"1,000"
606_fri_c2_1000_10,"1,000",11,"1,000"
607_fri_c4_1000_50,"1,000",51,"1,000"
608_fri_c3_1000_10,"1,000",11,"1,000"
609_fri_c0_1000_5,"1,000",6,"1,000"
612_fri_c1_1000_5,"1,000",6,"1,000"
618_fri_c3_1000_50,"1,000",51,"1,000"
620_fri_c1_1000_25,"1,000",26,"1,000"
622_fri_c2_1000_50,"1,000",51,"1,000"
623_fri_c4_1000_10,"1,000",11,"1,000"
628_fri_c3_1000_5,"1,000",6,"1,000"
autoUniv-au1-1000,"1,000",21,2
autoUniv-au6-1000,"1,000",41,8
collins,"1,000",20,30
credit-g,"1,000",21,2
credit_g,"1,000",21,2
fri_c0_1000_10,"1,000",11,2
fri_c0_1000_25,"1,000",26,2
fri_c0_1000_5,"1,000",6,2
fri_c0_1000_50,"1,000",51,2
fri_c1_1000_10,"1,000",11,2
fri_c1_1000_25,"1,000",26,2
fri_c1_1000_5,"1,000",6,2
fri_c1_1000_50,"1,000",51,2
fri_c2_1000_10,"1,000",11,2
fri_c2_1000_25,"1,000",26,2
fri_c2_1000_5,"1,000",6,2
fri_c2_1000_50,"1,000",51,2
fri_c3_1000_10,"1,000",11,2
fri_c3_1000_25,"1,000",26,2
fri_c3_1000_5,"1,000",6,2
fri_c3_1000_50,"1,000",51,2
fri_c4_1000_10,"1,000",11,2
fri_c4_1000_100,"1,000",101,2
fri_c4_1000_25,"1,000",26,2
fri_c4_1000_50,"1,000",51,2
german,"1,000",21,2
vowel,990,13,2
xd6,973,10,2
tokyo1,959,45,2
tic-tac-toe,958,10,2
tic_tac_toe,958,10,2
stock,950,10,2
eating,945,"6,374",7
oil_spill,937,50,2
anneal,898,12,2
vehicle,846,19,4
analcatdata_authorship,841,71,2
analcatdata_dmft,797,5,6
kdd_el_nino-small,782,9,2
diabetes,768,9,2
energy-efficiency,768,10,37
pima,768,9,2
autoUniv-au6-750,750,41,8
blood-transfusion-service-center,748,5,2
PieChart2,745,37,2
eucalyptus,736,20,5
PieChart1,705,38,2
autoUniv-au7-700,700,13,3
breast,699,11,2
breast-w,699,10,2
breast_w,699,10,2
Australian,690,15,2
buggyCrx,690,16,2
credit-approval,690,16,2
credit_a,690,16,2
crx,690,16,2
soybean,683,36,19
profb,672,8,2
disclosure_x_bias,662,4,2
disclosure_x_noise,662,4,2
disclosure_x_tampered,662,4,2
disclosure_z,662,4,2
PizzaCutter1,661,38,2
AP_Breast_Colon,630,"10,936",2
balance-scale,625,5,2
balance_scale,625,5,3
strikes,625,7,2
AP_Breast_Kidney,604,"10,936",2
monk2,601,7,2
monks-problems-2,601,7,2
synthetic_control,600,61,2
ilpd,583,11,2
sensory,576,12,2
UMIST_Faces_Cropped,575,"10,305",20
micro-mass,571,"1,301",20
breast_cancer_wisconsin,569,31,2
wdbc,569,31,2
arsenic-female-bladder,559,5,2
arsenic-female-lung,559,5,2
arsenic-male-bladder,559,5,2
arsenic-male-lung,559,5,2
monk1,556,7,2
monks-problems-1,556,7,2
monk3,554,7,2
monks-problems-3,554,7,2
AP_Colon_Kidney,546,"10,936",2
AP_Breast_Ovary,542,"10,936",2
climate-model-simulation-crashes,540,21,2
cylinder-bands,540,38,2
spectrometer,531,102,48
meta,528,20,2
water-treatment,527,37,2
kc2,522,22,2
threeOf9,512,10,2
666_rmftsa_ladata,508,11,365
rmftsa_ladata,508,11,2
boston,506,14,2
boston_corrected,506,21,2
522_pm10,500,8,117
547_no2,500,8,385
581_fri_c3_500_25,500,26,500
582_fri_c1_500_25,500,26,500
584_fri_c4_500_25,500,26,500
597_fri_c2_500_5,500,6,500
604_fri_c4_500_10,500,11,500
616_fri_c4_500_50,500,51,500
617_fri_c3_500_5,500,6,500
626_fri_c2_500_50,500,51,500
627_fri_c2_500_10,500,11,500
631_fri_c1_500_5,500,6,500
633_fri_c0_500_25,500,26,500
637_fri_c1_500_50,500,51,500
641_fri_c1_500_10,500,11,500
643_fri_c2_500_25,500,26,500
645_fri_c3_500_50,500,51,500
646_fri_c3_500_10,500,11,500
649_fri_c0_500_5,500,6,500
650_fri_c0_500_50,500,51,500
654_fri_c0_500_10,500,11,500
LED-display-domain-7digit,500,8,10
autoUniv-au7-500,500,13,5
fri_c0_500_10,500,11,2
fri_c0_500_25,500,26,2
fri_c0_500_5,500,6,2
fri_c0_500_50,500,51,2
fri_c1_500_10,500,11,2
fri_c1_500_25,500,26,2
fri_c1_500_5,500,6,2
fri_c1_500_50,500,51,2
fri_c2_500_10,500,11,2
fri_c2_500_25,500,26,2
fri_c2_500_5,500,6,2
fri_c2_500_50,500,51,2
fri_c3_500_10,500,11,2
fri_c3_500_25,500,26,2
fri_c3_500_5,500,6,2
fri_c3_500_50,500,51,2
fri_c4_500_10,500,11,2
fri_c4_500_100,500,101,2
fri_c4_500_25,500,26,2
fri_c4_500_50,500,51,2
irish,500,6,2
no2,500,8,2
pm10,500,8,2
dresses-sales,499,11,2
1027_ESL,488,5,9
AP_Colon_Ovary,484,"10,936",2
PopularKids,478,11,3
clean1,476,169,2
556_analcatdata_apnea2,475,4,178
557_analcatdata_apnea1,475,4,164
analcatdata_apnea1,475,4,2
analcatdata_apnea2,475,4,2
AP_Breast_Lung,470,"10,936",2
thoracic-surgery,470,17,2
thoracic_surgery,470,17,2
AP_Breast_Uterus,468,"10,936",2
analcatdata_vineyard,468,4,2
chscase_vine2,468,3,2
sa-heart,462,10,2
saheart,462,10,2
AP_Ovary_Kidney,458,"10,936",2
kc3,458,40,2
arrhythmia,452,279,13
analcatdata_apnea3,450,4,2
wholesale-customers,440,9,2
house_votes_84,435,17,2
vote,435,17,2
AP_Breast_Omentum,421,"10,936",2
AP_Breast_Prostate,413,"10,936",2
AP_Colon_Lung,412,"10,936",2
braziltourism,412,9,2
AP_Colon_Uterus,410,"10,936",2
cars,406,9,2
AP_Endometrium_Breast,405,"10,936",2
mw1,403,38,2
user-knowledge,403,6,5
Olivetti_Faces,400,"4,097",40
analcatdata_germangss,400,6,4
autoUniv-au6-400,400,41,8
chscase_census2,400,8,2
chscase_census3,400,8,2
chscase_census4,400,8,2
chscase_census5,400,8,2
chscase_census6,400,7,2
strogatz_bacres1,400,3,400
strogatz_bacres2,400,3,400
strogatz_barmag1,400,3,400
strogatz_barmag2,400,3,400
strogatz_glider1,400,3,400
strogatz_glider2,400,3,400
strogatz_lv1,400,3,400
strogatz_lv2,400,3,400
strogatz_predprey1,400,3,400
strogatz_predprey2,400,3,400
strogatz_shearflow1,400,3,400
strogatz_shearflow2,400,3,400
strogatz_vdp1,400,3,400
strogatz_vdp2,400,3,400
calendarDOW,399,33,5
autoMpg,398,8,2
cars1,392,8,3
AP_Lung_Kidney,386,"10,936",2
AP_Uterus_Kidney,384,"10,936",2
Engine1,383,6,3
variousCancers_final,383,"54,676",9
519_vinnie,380,3,16
vinnie,380,3,2
horse_colic,368,23,2
analcatdata_draft,366,5,2
dermatology,366,35,6
analcatdata_birthday,365,4,2
analcatdata_marketing,364,33,6
AP_Colon_Omentum,363,"10,936",2
movement_libras,360,91,15
AP_Colon_Prostate,355,"10,936",2
ionosphere,351,35,2
SPECTF,349,45,2
AP_Endometrium_Colon,347,"10,936",2
bupa,345,6,2
penguins,344,8,3
leaf,340,16,30
schizo,340,15,3
primary-tumor,339,17,21
AP_Omentum_Kidney,337,"10,936",2
ecoli,336,8,8
AP_Prostate_Kidney,329,"10,936",2
CastMetal1,327,38,2
AP_Ovary_Lung,324,"10,936",2
690_visualizing_galaxy,323,5,208
colic,323,16,2
visualizing_galaxy,323,5,2
AP_Ovary_Uterus,322,"10,936",2
AP_Endometrium_Kidney,321,"10,936",2
pc1_req,320,9,2
plasma_retinol,315,14,2
solar_flare_1,315,13,5
pbc,312,17,2
diggle_table_a2,310,9,2
vertebra-column,310,7,3
haberman,306,4,2
cholesterol,303,14,2
cleve,303,14,2
cleveland,303,14,2
cleveland-nominal,303,8,5
cleveland_nominal,303,8,5
heart-c,303,14,2
heart_c,303,14,2
CostaMadre1,296,38,2
badges2,294,11,2
heart-h,294,14,5
heart_h,294,14,2
hungarian,294,11,2
breast-cancer,286,10,2
breastTumor,286,10,2
breast_cancer,286,10,2
analcatdata_broadwaymult,285,8,7
mu284,284,11,2
hepatitisC,283,"54,622",3
ovarianTumour,283,"54,622",3
breast-cancer-dropped-missing-attributes-values,277,10,2
AP_Omentum_Ovary,275,"10,936",2
analcatdata_reviewer,274,2,2
heart-statlog,270,14,2
heart_statlog,270,14,2
AP_Prostate_Ovary,267,"10,936",2
SPECT,267,23,2
analcatdata_lawsuit,264,5,2
rmftsa_ctoarrivals,264,3,2
AP_Endometrium_Ovary,259,"10,936",2
MeanWhile1,253,38,2
MegaWatt1,253,38,2
560_bodyfat,252,15,176
bodyfat,252,15,2
579_fri_c0_250_5,250,6,250
596_fri_c2_250_5,250,6,250
601_fri_c1_250_5,250,6,250
602_fri_c3_250_10,250,11,250
603_fri_c0_250_50,250,51,250
605_fri_c2_250_25,250,26,250
613_fri_c3_250_5,250,6,250
615_fri_c4_250_10,250,11,250
635_fri_c0_250_10,250,11,250
644_fri_c4_250_25,250,26,250
647_fri_c1_250_10,250,11,250
648_fri_c1_250_50,250,51,250
653_fri_c0_250_25,250,26,250
657_fri_c2_250_10,250,11,250
658_fri_c3_250_25,250,26,250
AP_Lung_Uterus,250,"10,936",2
fri_c0_250_10,250,11,2
fri_c0_250_25,250,26,2
fri_c0_250_5,250,6,2
fri_c0_250_50,250,51,2
fri_c1_250_10,250,11,2
fri_c1_250_25,250,26,2
fri_c1_250_5,250,6,2
fri_c1_250_50,250,51,2
fri_c2_250_10,250,11,2
fri_c2_250_25,250,26,2
fri_c2_250_5,250,6,2
fri_c2_250_50,250,51,2
fri_c3_250_10,250,11,2
fri_c3_250_25,250,26,2
fri_c3_250_5,250,6,2
fri_c3_250_50,250,51,2
fri_c4_250_10,250,11,2
fri_c4_250_100,250,101,2
fri_c4_250_25,250,26,2
fri_c4_250_50,250,51,2
prnn_synth,250,3,2
qualitative-bankruptcy,250,7,2
505_tecator,240,125,157
tecator,240,125,2
695_chatfield_4,235,13,211
chatfield_4,235,13,2
chscase_whale,228,9,2
audiology,226,68,24
lungcancer_GSE31210,226,24,2
712_chscase_geyser1,222,3,50
chscase_geyser1,222,3,2
BurkittLymphoma,220,"22,284",3
new_thyroid,215,6,3
thyroid-new,215,6,3
glass,214,10,6
mouseType,214,"45,102",7
prnn_fglass,214,10,6
seeds,210,8,3
seismic-bumps,210,8,3
230_machine_cpu,209,7,116
561_cpu,209,8,104
biomed,209,9,2
cpu,209,8,2
machine_cpu,209,7,2
sonar,208,61,2
autoHorse,205,26,2
autos,205,26,6
AP_Omentum_Lung,203,"10,936",2
auto,202,26,5
AP_Omentum_Uterus,201,"10,936",2
229_pwLinear,200,11,189
arcene,200,"10,001",2
heart-long-beach,200,14,5
prnn_crabs,200,8,2
pwLinear,200,11,2
AP_Prostate_Lung,195,"10,936",2
parkinsons,195,23,2
pharynx,195,11,2
KnuggetChase3,194,40,2
flags,194,29,8
wisconsin,194,33,2
AP_Prostate_Uterus,193,"10,936",2
GCM,190,"16,064",14
lowbwt,189,10,2
AP_Endometrium_Lung,187,"10,936",2
triazines,186,61,2
AP_Endometrium_Uterus,185,"10,936",2
chscase_funds,185,3,2
planning-relax,182,13,2
Smartphone-Based_Recognition_of_Human_Activities,180,67,6
backache,180,32,2
wine,178,14,2
wine_recognition,178,14,3
servo,167,5,2
robot-failures-lp5,164,91,5
analcatdata_homerun,163,27,5
analcatdata_wildcat,163,6,2
glass2,163,10,2
mc2,161,40,2
corral,160,7,2
hayes-roth,160,5,3
hayes_roth,160,5,3
195_auto_price,159,16,145
207_autoPrice,159,16,145
analcatdata_gsssexsurvey,159,10,2
anthracyclineTaxaneChemotherapy,159,"61,360",2
autoPrice,159,16,2
auto_price,159,16,2
fishcatch,158,7,2
grub-damage,155,9,2
tae,151,6,2
teachingAssistant,151,7,3
MyIris,150,5,3
hepatitis,150,19,2
iris,150,5,2
lymph,148,19,4
lymphography,148,19,4
665_sleuth_case2002,147,7,19
sleuth_case2002,147,7,2
AP_Omentum_Prostate,146,"10,936",2
kc1-binary,145,95,2
kc1-top5,145,95,2
newton_hema,140,4,2
AP_Endometrium_Omentum,138,"10,936",2
analcatdata_challenger,138,3,2
veteran,137,8,2
analcatdata_boxing2,132,4,2
analcatdata_seropositive,132,4,2
transplant,131,4,2
AP_Endometrium_Prostate,130,"10,936",2
datatrieve,130,9,2
humandevel,130,2,2
visualizing_livestock,130,3,2
mux6,128,7,2
echoMonths,126,9,2
lsvt,126,311,2
MindCave2,125,40,2
fruitfly,125,5,2
KungChi3,123,40,2
heart-switzerland,123,13,5
ar1,121,30,2
663_rabe_266,120,3,96
acute-inflammations,120,7,2
analcatdata_boxing1,120,4,2
rabe_266,120,3,2
robot-failures-lp4,117,91,3
rsctc2010_4,113,"54,676",5
678_visualizing_environmental,111,4,28
visualizing_environmental,111,4,2
210_cloud,108,6,94
analcatdata_michiganacc,108,4,2
cloud,108,8,2
ar4,107,30,2
bridges,107,12,2
appendicitis,106,8,2
breast-tissue,106,10,6
molecular-biology_promoters,106,58,2
molecular_biology_promoters,106,58,2
promoters,106,59,2
rsctc2010_1,105,"22,284",3
rsctc2010_2,105,"22,284",3
ar6,101,30,2
zoo,101,17,7
523_analcatdata_neavote,100,3,8
591_fri_c1_100_10,100,11,100
594_fri_c2_100_5,100,6,100
611_fri_c3_100_5,100,6,100
621_fri_c0_100_10,100,11,100
624_fri_c0_100_5,100,6,100
634_fri_c2_100_10,100,11,100
651_fri_c0_100_25,100,26,100
656_fri_c1_100_5,100,6,100
analcatdata_chlamydia,100,4,2
analcatdata_creditscore,100,7,2
analcatdata_neavote,100,3,2
blogger,100,6,2
fertility,100,10,2
fri_c0_100_10,100,11,2
fri_c0_100_25,100,26,2
fri_c0_100_5,100,6,2
fri_c0_100_50,100,51,2
fri_c1_100_10,100,11,2
fri_c1_100_25,100,26,2
fri_c1_100_5,100,6,2
fri_c1_100_50,100,51,2
fri_c2_100_10,100,11,2
fri_c2_100_25,100,26,2
fri_c2_100_5,100,6,2
fri_c2_100_50,100,51,2
fri_c3_100_10,100,11,2
fri_c3_100_25,100,26,2
fri_c3_100_5,100,6,2
fri_c3_100_50,100,51,2
fri_c4_100_10,100,11,2
fri_c4_100_100,100,101,2
fri_c4_100_25,100,26,2
fri_c4_100_50,100,51,2
analcatdata_cyyoung8092,97,11,2
baskball,96,5,2
lymphoma_11classes,96,"4,027",11
lymphoma_9classes,96,"4,027",9
analcatdata_broadway,95,8,5
rsctc2010_3,95,"22,278",5
706_sleuth_case1202,93,7,79
auto93,93,23,2
sleuth_case1202,93,7,2
analcatdata_cyyoung9302,92,10,2
analcatdata_negotiation,92,6,2
rsctc2010_6,92,"59,005",5
postoperative-patient-data,90,9,2
cm1_req,89,9,2
rsctc2010_5,89,"54,614",4
postoperative_patient_data,88,9,2
robot-failures-lp1,88,91,4
visualizing_ethanol,88,3,2
lupus,87,4,2
sleuth_ex2016,87,11,2
analcatdata_asbestos,83,4,2
desharnais,81,12,3
kidney,76,7,2
sponge,76,45,2
analcatdata_gviolence,74,9,2
pyrim,74,28,2
visualizing_hamster,73,6,2
confidence,72,4,6
leukemia,72,"7,130",2
hutsof99_logis,70,8,2
rabe_176,70,4,2
527_analcatdata_election2000,67,15,67
analcatdata_election2000,67,15,2
fl2000,67,16,2
analcatdata_olympic2000,66,12,2
rabe_148,66,6,2
dbworld-bodies,64,"4,703",2
dbworld-bodies-stemmed,64,"3,722",2
dbworld-subjects,64,243,2
dbworld-subjects-stemmed,64,230,2
ar3,63,30,2
white-clover,63,32,4
687_sleuth_ex1605,62,6,41
sleep,62,8,2
sleuth_ex1605,62,6,2
mbagrade,61,3,2
prnn_viruses,61,19,4
542_pollution,60,16,60
analcatdata_happiness,60,4,3
analcatdata_runshoes,60,11,2
pollution,60,16,2
sleuth_ex2015,60,8,2
tumors_C,60,"7,130",2
analcatdata_bondrate,57,11,2
228_elusage,55,3,52
elusage,55,3,2
hip,54,4,2
labor,54,7,2
analcatdata_japansolvent,52,9,2
chscase_vine1,52,10,2
squash-stored,52,25,2
squash-unstored,52,24,3
vineyard,52,3,2
rabe_265,51,7,2
1096_FacultySalaries,50,5,39
aids,50,5,2
analcatdata_aids,50,5,2
analcatdata_bankruptcy,50,6,2
chscase_health,50,4,2
rabe_131,50,6,2
sleuth_case1201,50,7,2
witmer_census_1980,50,5,2
485_analcatdata_vehicle,48,5,47
analcatdata_vehicle,48,5,2
diggle_table_a1,48,5,2
1089_USCrime,47,14,42
659_sleuth_ex1714,47,8,47
robot-failures-lp2,47,91,5
robot-failures-lp3,47,91,4
sleuth_ex1714,47,8,2
rabe_97,46,4,2
lymphoma_2classes,45,"4,027",2
wind_correlations,45,47,2
visualizing_slope,44,4,2
diabetes_numeric,43,3,2
analcatdata_fraud,42,12,2
hutsof99_child_witness,42,16,2
sleuth_ex1221,42,10,2
bolts,40,8,2
rabe_166,40,2,2
chscase_adopt,39,3,2
schlvote,38,6,2
ar5,36,30,2
pasture,36,23,2
sleuth_case1102,34,9,2
lung-cancer,32,57,3
parity5,32,6,2
analcatdata_uktrainacc,31,10,2
prnn_cushings,27,3,4
shuttle-landing-control,13,4,2
trains,10,27,2
