Filename,Algorithm,ARI_DBSCAN,Time_DBSCAN
BNG(lymph_COMMA_5000_COMMA_1)_OpenML, brute,-0.008338777,1531.700721
BNG(lymph_COMMA_5000_COMMA_10)_OpenML, brute,6.81e-06,1531.628044
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML, brute,-0.039538645,1539.173163
BNG(mfeat-fourier)_OpenML, brute,,
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML, brute,,
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML, brute,,
BNG(mfeat-zernike)_OpenML, brute,0.0,2894.498949
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML, brute,0.006547906,2897.665626
BNG(page-blocks)_OpenML, kd_tree,0.0,109.302124
BNG(pbc)_OpenML, brute,0.0,1532.976564
BNG(pendigits)_OpenML, brute,0.0,2158.411877
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML, brute,0.028535613,2144.270391
BNG(pharynx)_OpenML, kd_tree,-2.44e-10,1250.785439
BNG(primary-tumor)_OpenML, brute,0.006088763,1525.962216
BNG(puma32H)_OpenML, brute,0.0,2747.593129
BNG(pwLinear)_OpenML, kd_tree,1.41e-08,39.4237361
BNG(satellite_image)_OpenML, brute,0.0,2224.511971
BNG(satimage)_OpenML, brute,0.0,2226.4577
BNG(segment)_OpenML, brute,0.07938574,1986.590381
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML, brute,,
BNG(sonar)_OpenML, brute,-0.000186293,3167.949332
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML, brute,1.27e-05,3164.556566
BNG(spect_test)_OpenML, brute,0.001305939,1717.99418
BNG(spectf_test)_OpenML, brute,0.0,2534.997476
BNG(trains)_OpenML, brute,0.000685947,2703.726446
BNG(vehicle)_OpenML, brute,0.0,1532.232403
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML, brute,0.008397517,1589.938136
BNG(vote)_OpenML, brute,0.010223118,40.27498603
BNG(vowel)_OpenML, kd_tree,0.001127991,1317.440094
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML, brute,-2.56e-07,3055.075196
BNG(wine)_OpenML, kd_tree,0.0,1356.661793
BNG(wisconsin)_OpenML, brute,0.0,2801.811304
BNG(zoo)_OpenML, brute,0.075778752,2653.800204
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML, brute,-0.04616227,1508.559652
CovPokElec_OpenML, brute,,
CreditCardSubset_OpenML, brute,0.0,0.429107904
Diabetes130US_OpenML, brute,0.0,28.38865829
Hyperplane_10_1E-3_OpenML, kd_tree,0.0,1275.502852
Hyperplane_10_1E-4_OpenML, kd_tree,0.0,1279.729435
Kaggle_bike_sharing_demand_challange_OpenML, kd_tree,0.0,0.172939062
LED(50000)_OpenML, brute,-9.27e-07,2443.156309
MagicTelescope_OpenML, kd_tree,0.0,0.474172115
OnlineNewsPopularity_OpenML, brute,0.0,5.004101992
PhishingWebsites_OpenML, brute,-0.013489933,0.269071102
RandomRBF_0_0_OpenML, kd_tree,,
RandomRBF_10_1E-3_OpenML, kd_tree,,
RandomRBF_10_1E-4_OpenML, kd_tree,,
RandomRBF_50_1E-3_OpenML, kd_tree,0.001096492,1264.447638
RandomRBF_50_1E-4_OpenML, kd_tree,0.000969599,1265.576713
ailerons_OpenML, brute,0.0,0.588357925
bank-marketing_OpenML, brute,0.0,4.435000181
eeg-eye-state_OpenML, kd_tree,0.0,0.338099003
elevators_OpenML, brute,0.0,0.446953297
eye_movements_OpenML, brute,0.0,0.258981228
fried_OpenML, kd_tree,3.02e-09,2.169445992
gas-drift-different-concentrations_OpenML, brute,0.0,1.154551983
gas-drift_OpenML, brute,0.0,1.26711297
har_OpenML, brute,0.0,2.443612337
house_16H_OpenML, brute,-0.02767202,1.160748959
letter_OpenML, brute,0.000132708,0.902509212
meta_stream_intervals.arff_OpenML, brute,0.0,7.608479023
mnist_784_OpenML, brute,0.0,159.3326669
mv_OpenML, kd_tree,0.0,2.109471083
nomao_OpenML, brute,0.000540791,6.488951206
numerai28.6_OpenML, brute,6.64e-05,14.98389411
pendigits_OpenML, brute,0.0,0.280076981
pol_OpenML, brute,0.0,0.767801762
spoken-arabic-digit_OpenML, kd_tree,1.43e-06,96.28778219
sylva_prior_OpenML, brute,0.0,1.072331667
Ailerons_OpenML, brute,0.0,0.592848778
