Filename,Algorithm
BNG(letter_COMMA_1000_COMMA_5)_OpenML, brute
BNG(letter_COMMA_5000_COMMA_1)_OpenML, brute
BNG(letter_COMMA_5000_COMMA_10)_OpenML, brute
BNG(letter_COMMA_5000_COMMA_5)_OpenML, brute
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(libras_move)_OpenML, brute
BNG(lymph)_OpenML, brute
BNG(lymph_COMMA_10000_COMMA_1)_OpenML, brute
BNG(lymph_COMMA_10000_COMMA_10)_OpenML, brute
BNG(lymph_COMMA_10000_COMMA_5)_OpenML, brute
BNG(lymph_COMMA_1000_COMMA_1)_OpenML, brute
BNG(lymph_COMMA_1000_COMMA_10)_OpenML, brute
BNG(lymph_COMMA_1000_COMMA_5)_OpenML, brute
BNG(lymph_COMMA_5000_COMMA_1)_OpenML, brute
BNG(lymph_COMMA_5000_COMMA_10)_OpenML, brute
BNG(lymph_COMMA_5000_COMMA_5)_OpenML, brute
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(mfeat-fourier)_OpenML, brute
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(mfeat-karhunen)_OpenML, brute
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(mfeat-zernike)_OpenML, brute
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(mushroom)_OpenML, brute
BNG(mv)_OpenML, kd_tree
BNG(optdigits)_OpenML, brute
BNG(page-blocks)_OpenML, kd_tree
BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML, kd_tree
BNG(pbc)_OpenML, brute
BNG(pendigits)_OpenML, brute
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(pharynx)_OpenML, kd_tree
BNG(primary-tumor)_OpenML, brute
BNG(puma32H)_OpenML, brute
BNG(pwLinear)_OpenML, kd_tree
BNG(satellite_image)_OpenML, brute
BNG(satimage)_OpenML, brute
BNG(segment)_OpenML, brute
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(solar-flare)_OpenML, kd_tree
BNG(sonar)_OpenML, brute
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(soybean)_OpenML, brute
BNG(spambase)_OpenML, brute
BNG(spect_test)_OpenML, brute
BNG(spectf_test)_OpenML, brute
BNG(trains)_OpenML, brute
BNG(vehicle)_OpenML, brute
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(vote)_OpenML, brute
BNG(vowel)_OpenML, kd_tree
BNG(waveform-5000)_OpenML, brute
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(wine)_OpenML, kd_tree
BNG(wine_quality)_OpenML, kd_tree
BNG(wisconsin)_OpenML, brute
BNG(zoo)_OpenML, brute
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML, brute
Buzzinsocialmedia_Twitter_OpenML, brute
Click_prediction_small_OpenML, kd_tree
CovPokElec_OpenML, brute
CreditCardSubset_OpenML, brute
Diabetes130US_OpenML, brute
Hyperplane_10_1E-3_OpenML, kd_tree
Hyperplane_10_1E-4_OpenML, kd_tree
KDDCup99_OpenML, brute
KDDCup99_full_OpenML, brute
Kaggle_bike_sharing_demand_challange_OpenML, kd_tree
LED(50000)_OpenML, brute
MagicTelescope_OpenML, kd_tree
OnlineNewsPopularity_OpenML, brute
PhishingWebsites_OpenML, brute
RandomRBF_0_0_OpenML, kd_tree
RandomRBF_10_1E-3_OpenML, kd_tree
RandomRBF_10_1E-4_OpenML, kd_tree
RandomRBF_50_1E-3_OpenML, kd_tree
RandomRBF_50_1E-4_OpenML, kd_tree
ailerons_OpenML, brute
bank-marketing_OpenML, brute
covertype_OpenML, brute
creditcard_OpenML, brute
eeg-eye-state_OpenML, kd_tree
elevators_OpenML, brute
eye_movements_OpenML, brute
fried_OpenML, kd_tree
gas-drift-different-concentrations_OpenML, brute
gas-drift_OpenML, brute
har_OpenML, brute
house_16H_OpenML, brute
letter-challenge-unlabeled.arff_OpenML, brute
letter_OpenML, brute
meta_stream_intervals.arff_OpenML, brute
mnist_784_OpenML, brute
mv_OpenML, kd_tree
nomao_OpenML, brute
numerai28.6_OpenML, brute
pendigits_OpenML, brute
poker-hand_OpenML, kd_tree
pokerhand_OpenML, kd_tree
pol_OpenML, brute
spoken-arabic-digit_OpenML, kd_tree
sylva_prior_OpenML, brute
Ailerons_OpenML, brute
