Filename,Time,ARI
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(cylinder-bands)_OpenML,-2.0,-2.0
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(elevators)_OpenML,-2.0,-2.0
BNG(eucalyptus)_OpenML,-2.0,-2.0
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(kr-vs-kp)_OpenML,-2.0,-2.0
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,-2.0,-2.0
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,-2.0,-2.0
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,-2.0,-2.0
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,-2.0,-2.0
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,-2.0,-2.0
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,-2.0,-2.0
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,-2.0,-2.0
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,-2.0,-2.0
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,-2.0,-2.0
BNG(labor)_OpenML,-2.0,-2.0
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(letter)_OpenML,-2.0,-2.0
BNG(letter_COMMA_10000_COMMA_1)_OpenML,-2.0,-2.0
BNG(letter_COMMA_10000_COMMA_10)_OpenML,-2.0,-2.0
BNG(letter_COMMA_10000_COMMA_5)_OpenML,-2.0,-2.0
BNG(letter_COMMA_1000_COMMA_1)_OpenML,-2.0,-2.0
BNG(letter_COMMA_1000_COMMA_10)_OpenML,-2.0,-2.0
BNG(letter_COMMA_1000_COMMA_5)_OpenML,-2.0,-2.0
BNG(letter_COMMA_5000_COMMA_1)_OpenML,-2.0,-2.0
BNG(letter_COMMA_5000_COMMA_10)_OpenML,-2.0,-2.0
BNG(letter_COMMA_5000_COMMA_5)_OpenML,-2.0,-2.0
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(libras_move)_OpenML,-2.0,-2.0
BNG(lymph)_OpenML,-2.0,-2.0
BNG(lymph_COMMA_10000_COMMA_1)_OpenML,-2.0,-2.0
BNG(lymph_COMMA_10000_COMMA_10)_OpenML,-2.0,-2.0
BNG(lymph_COMMA_10000_COMMA_5)_OpenML,-2.0,-2.0
BNG(lymph_COMMA_1000_COMMA_1)_OpenML,-2.0,-2.0
BNG(lymph_COMMA_1000_COMMA_10)_OpenML,-2.0,-2.0
BNG(lymph_COMMA_5000_COMMA_1)_OpenML,-2.0,-2.0
BNG(lymph_COMMA_5000_COMMA_10)_OpenML,-2.0,-2.0
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(mfeat-fourier)_OpenML,-2.0,-2.0
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(mfeat-zernike)_OpenML,-2.0,-2.0
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(page-blocks)_OpenML,-2.0,-2.0
BNG(pbc)_OpenML,-2.0,-2.0
BNG(pendigits)_OpenML,-2.0,-2.0
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(pharynx)_OpenML,-2.0,-2.0
BNG(primary-tumor)_OpenML,-2.0,-2.0
BNG(puma32H)_OpenML,-2.0,-2.0
BNG(pwLinear)_OpenML,26.145597457885742,6.922278011249498e-08
BNG(satellite_image)_OpenML,-2.0,-2.0
BNG(satimage)_OpenML,-2.0,-2.0
BNG(segment)_OpenML,-2.0,-2.0
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(sonar)_OpenML,-2.0,-2.0
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(spect_test)_OpenML,-2.0,-2.0
BNG(spectf_test)_OpenML,-2.0,-2.0
BNG(trains)_OpenML,-2.0,-2.0
BNG(vehicle)_OpenML,-2.0,-2.0
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(vote)_OpenML,12.704333066940308,0.3275902509140732
BNG(vowel)_OpenML,-2.0,-2.0
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(wine)_OpenML,-2.0,-2.0
BNG(wisconsin)_OpenML,-2.0,-2.0
BNG(zoo)_OpenML,-2.0,-2.0
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
CovPokElec_OpenML,-2.0,-2.0
CreditCardSubset_OpenML,6.901782035827637,0.00024273199041223282
Diabetes130US_OpenML,18.253013372421265,0.0020676961398676365
Hyperplane_10_1E-3_OpenML,-2.0,-2.0
Hyperplane_10_1E-4_OpenML,-2.0,-2.0
Kaggle_bike_sharing_demand_challange_OpenML,5.725027322769165,-0.0001736125490015014
LED(50000)_OpenML,-2.0,-2.0
MagicTelescope_OpenML,3.9540493488311768,-0.002874432888555619
OnlineNewsPopularity_OpenML,-2.0,-2.0
PhishingWebsites_OpenML,2.7899532318115234,-0.007348940295117045
RandomRBF_0_0_OpenML,-2.0,-2.0
RandomRBF_10_1E-3_OpenML,-2.0,-2.0
RandomRBF_10_1E-4_OpenML,-2.0,-2.0
RandomRBF_50_1E-3_OpenML,-2.0,-2.0
RandomRBF_50_1E-4_OpenML,-2.0,-2.0
ailerons_OpenML,6.290010929107666,0.0020070350802457444
bank-marketing_OpenML,6.627748966217041,-0.052655323793682186
eeg-eye-state_OpenML,5.37706184387207,0.013056469066726747
elevators_OpenML,4.177967548370361,0.00013585988758361018
eye_movements_OpenML,2.9165596961975098,-0.001004920006227575
fried_OpenML,5.072773456573486,0.00013861472883723626
gas-drift-different-concentrations_OpenML,-2.0,-2.0
gas-drift_OpenML,-2.0,-2.0
har_OpenML,-2.0,-2.0
house_16H_OpenML,9.019480466842651,0.0
letter_OpenML,125.78264021873474,5.688164340725155e-05
meta_stream_intervals.arff_OpenML,-2.0,-2.0
mnist_784_OpenML,-2.0,-2.0
mv_OpenML,102.52372336387634,0.00012084595229218358
nomao_OpenML,-2.0,-2.0
numerai28.6_OpenML,16.721547603607178,0.0001987197740690001
pendigits_OpenML,6.455199241638184,0.0
pol_OpenML,8.922226667404175,-0.0025327800433498945
spoken-arabic-digit_OpenML,-2.0,-2.0
sylva_prior_OpenML,-2.0,-2.0
