Filename,Shape_R,Shape_C,Unique
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,26,7
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,26,7
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,26,7
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,26,7
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,26,7
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,26,7
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,26,7
BNG(segment)_OpenML,1000000,20,7
BNG(zoo)_OpenML,1000000,17,7
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,7
har_OpenML,10299,562,6
gas-drift-different-concentrations_OpenML,13910,130,6
gas-drift_OpenML,13910,129,6
BNG(anneal)_OpenML,1000000,39,6
BNG(anneal.ORIG)_OpenML,1000000,39,6
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,39,6
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,39,6
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,39,6
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,39,6
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,39,6
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,39,6
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,6
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,39,6
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,39,6
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,39,6
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,39,6
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,39,6
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,39,6
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,39,6
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,39,6
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,6
BNG(bridges_version1)_OpenML,1000000,13,6
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,35,6
BNG(satimage)_OpenML,1000000,37,6
BNG(page-blocks)_OpenML,295245,11,5
BNG(eucalyptus)_OpenML,1000000,20,5
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,14,5
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,14,5
RandomRBF_0_0_OpenML,1000000,11,5
RandomRBF_10_1E-3_OpenML,1000000,11,5
RandomRBF_10_1E-4_OpenML,1000000,11,5
RandomRBF_50_1E-3_OpenML,1000000,11,5
RandomRBF_50_1E-4_OpenML,1000000,11,5
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,30,4
BNG(lymph)_OpenML,1000000,19,4
BNG(lymph_COMMA_10000_COMMA_1)_OpenML,1000000,19,4
BNG(lymph_COMMA_10000_COMMA_10)_OpenML,1000000,19,4
BNG(lymph_COMMA_10000_COMMA_5)_OpenML,1000000,19,4
BNG(lymph_COMMA_1000_COMMA_1)_OpenML,1000000,19,4
BNG(lymph_COMMA_1000_COMMA_10)_OpenML,1000000,19,4
BNG(lymph_COMMA_5000_COMMA_1)_OpenML,1000000,19,4
BNG(lymph_COMMA_5000_COMMA_10)_OpenML,1000000,19,4
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,4
BNG(vehicle)_OpenML,1000000,19,4
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,4
eye_movements_OpenML,10936,28,3
Diabetes130US_OpenML,101766,50,3
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,41,3
BNG(wine)_OpenML,1000000,14,3
PhishingWebsites_OpenML,11055,31,2
CreditCardSubset_OpenML,14240,31,2
sylva_prior_OpenML,14395,109,2
eeg-eye-state_OpenML,14980,15,2
MagicTelescope_OpenML,19020,11,2
house_16H_OpenML,22784,17,2
nomao_OpenML,34465,119,2
fried_OpenML,40768,11,2
mv_OpenML,40768,11,2
bank-marketing_OpenML,45211,17,2
numerai28.6_OpenML,96320,22,2
BNG(vote)_OpenML,131072,17,2
20_newsgroups.drift_OpenML,399940,1001,2
BNG(Australian)_OpenML,1000000,15,2
BNG(SPECT)_OpenML,1000000,23,2
BNG(SPECTF)_OpenML,1000000,45,2
BNG(adult)_OpenML,1000000,15,2
BNG(colic)_OpenML,1000000,23,2
BNG(colic.ORIG)_OpenML,1000000,28,2
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,23,2
BNG(credit-a)_OpenML,1000000,16,2
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,2
BNG(credit-g)_OpenML,1000000,21,2
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,21,2
BNG(cylinder-bands)_OpenML,1000000,40,2
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,2
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,14,2
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,2
BNG(kr-vs-kp)_OpenML,1000000,37,2
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,37,2
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,37,2
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,37,2
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,37,2
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,37,2
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,37,2
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,37,2
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,37,2
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,37,2
BNG(labor)_OpenML,1000000,17,2
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,2
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,30,2
BNG(sonar)_OpenML,1000000,61,2
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,61,2
BNG(spect_test)_OpenML,1000000,23,2
BNG(spectf_test)_OpenML,1000000,45,2
BNG(trains)_OpenML,1000000,33,2
Hyperplane_10_1E-3_OpenML,1000000,11,2
Hyperplane_10_1E-4_OpenML,1000000,11,2
,507468.4114,28.63351696,5.539437283
